verb	verb_id	object	sentence	phrase
have	9	effects	Therefore DOPAMINE and the IABP used together HAVE synergic beneficial EFFECTS .	...dopamine and the IABP used together have synergic beneficial effects ....
share	60	receptor	The controversial literature reports leave open a question whether apomorphine ( APO ) and DOPAMINE ( DA ) SHARE a common RECEPTOR ?	...dopamine ( DA ) share a common receptor ?...
caused	8	increases	In the isolated perfused hamster heart , DOPAMINE CAUSED marked INCREASES in left ventricular pressure with slight increases in heart rate .	...dopamine caused marked increases in...
caused	8	increases	However , in the failing heart of the myopathic Syrian hamster , DOPAMINE CAUSED moderate INCREASES in left ventricular pressure with much greater increases in heart rate .	...dopamine caused moderate increases in...
modulates	10	permeability	They also receive synaptic input from the dopaminergic amacrine cells , and in this study , we investigated whether DOPAMINE MODULATES the PERMEABILITY of the gap junctions between AII amacrine cells in the isolated rabbit retina .	...dopamine modulates the permeability of...
reduced	20	coupling	Exogenous DOPAMINE significantly REDUCED the tracer COUPLING at concentrations as low as 10 nM ( 26 + /- 16 cells ) , with the effect increasing with dopamine concentration up to 10 microM ( 6 + /- 4 cells ) .	...dopamine significantly reduced the tracer coupling at...
influence	34	regulation	The decreases are small , but reproducible and suggest that DOPAMINE can INFLUENCE the adrenergic REGULATION of intraocular pressure .	...dopamine can influence the adrenergic regulation of...
exerts	11	effect	Hence , DOPAMINE EXERTS a renal calorigenic EFFECT which can not be accounted for by increased sodium reabsorption or attributed to increased supply of FFA .	...dopamine exerts a renal calorigenic effect which...
had	5	effects	Infusions of DOPAMINE which HAD obvious cardiovascular EFFECTS had no effect on reflex responses to norepinephrine .	...dopamine which had obvious cardiovascular effects had...
exerts	11	influence	Apart from its positive inotropic effect , DOPAMINE EXERTS a favourable INFLUENCE on renal function with an increase in renal blood flow and alterations in intrarenal haemodynamics .	...dopamine exerts a favourable influence on...
caused	8	decrease	In normal animals prior to dopaminergic or beta-adrenergic blockade , DOPAMINE CAUSED a dose-related DECREASE in mesenteric blood flow , intestinal oxygen consumption , and 86Rb clearance .	...dopamine caused a dose-related decrease in...
caused	8	contraction	Our results indicate that DOPAMINE CAUSED smooth muscle CONTRACTION in mesenteric arterioles and precapillary sphincters , thereby producing intestinal ischemia and hypoxia .	...dopamine caused smooth muscle contraction in...
stimulates	16	receptors	These findings with haloperidol and propranolol indicate that DOPAMINE STIMULATES at least two different RECEPTORS in the canine mesenteric vascular bed : a constrictor receptor blocked by haloperidol and a dilator receptor blocked by propranolol .	...dopamine stimulates at least two different receptors in...
mimicked	-1	effects	Noradrenaline and especially DOPAMINE MIMICKED with stricking similarity the EFFECTS of morphine in producing ' chronic tolerance ' and stimulating twitch height at high concentrations , and reversed ' acute tolerance ' produced by repeated administration of 10 ng/ml of morphine .	...dopamine mimicked with stricking similarity the effects of...
caused	8	behaviour	In addition , 50 - 100 mug DOPAMINE injected into the tuberculum olfactorium CAUSED a periodic biting BEHAVIOUR .	...dopamine injected into the tuberculum olfactorium caused a periodic biting behaviour ....
affect	19	startle	The results suggest that startle sensitization is enhanced by increased availability of catecholamines and , by virtue of the different potencies of the d- and l-isomers , that DOPAMINE and norepinephrine may AFFECT STARTLE differently .	...dopamine and norepinephrine may affect startle differently...
produces	32	effect	It may be concluded that DOPAMINE PRODUCES relaxation at a different site and with a different mechanism of action from those of isoproterenol , the EFFECT of the latter being presumably mediated by cellular cyclic AMP , and that dopamine also does not share the site of action with adenosine and acetylcholine .	...dopamine produces relaxation at a different site and with a different mechanism of action from those of isoproterenol , the effect of...
share	60	site	It may be concluded that dopamine produces relaxation at a different site and with a different mechanism of action from those of isoproterenol , the effect of the latter being presumably mediated by cellular cyclic AMP , and that DOPAMINE also does not SHARE the SITE of action with adenosine and acetylcholine .	...dopamine also does not share the site of...
comprises	-1	%	In contrast to the newly synthesized ( 14C-labelled ) CA , endogenous DOPAMINE COMPRISES only 10 % of the endogenous CA stores in rat vas deferens .	...dopamine comprises only 10 % of...
stimulated	14	formation	Norepinephrine , 3,4-L-dihydroxyphenylalanine , DOPAMINE , adrenochrome and apomorphine greatly STIMULATED PGF2alpha FORMATION probably through a nonenzymatic reduction of endoperoxides .	...dopamine , adrenochrome and apomorphine greatly stimulated PGF2alpha formation probably...
play	6	role	However , the apparent inability of pimozide alone to alter episodic LH discharge suggests that under physiological conditions DOPAMINE may not PLAY a ROLE in the modulation of episodic LH secretion .	...dopamine may not play a role in...
play	6	role	The conclusion suggest that DOPAMINE may PLAY a significant ROLE as a modulator in convulsions produced during alcohol withdrawal .	...dopamine may play a significant role as...
improve	61	volume	Both isoprenaline and DOPAMINE IMPROVE stroke VOLUME by an inotropic action , with an increase in venous return in the case of the latter and a reduction in afterload in the former .	...dopamine improve stroke volume by...
causes	30	increase	Intravenous DOPAMINE ( 4 and 8 microgram/kg/min ) CAUSES an INCREASE of hepatic flow and cardiac index , while the ratio hepatic flow : cardiac index remains unchanged .	...dopamine ( 4 and 8 microgram/kg/min ) causes an increase of...
induced	12	increase	3 . After bile duct ligation DOPAMINE INDUCED INCREASE of GFR and ERPF was of the same order as observed in the preoperative period .	...dopamine induced increase of...
increase	31	consumption	Dobutamine and DOPAMINE INCREASE myocardial blood flow and oxygen CONSUMPTION .	...dopamine increase myocardial blood flow and oxygen consumption ....
increased	1	excretion	In addition , DOPAMINE INCREASED both renal blood flow and sodium EXCRETION , however , the phosphaturia was independent of these changes ; since 30 min after completion of dopamine infusion , renal blood flow and sodium excretion returned to control levels and phosphate excretion remained elevated .	...dopamine increased both renal blood flow and sodium excretion ,...
play	6	role	It is postulated that DOPAMINE may PLAY a ROLE in the intrarenal regulation of phosphate excretion .	...dopamine may play a role in...
inhibits	0	release	It has been shown that DOPAMINE INHIBITS the RELEASE of acetylcholine ( ACh ) from nerve terminals of caudate cholinergic interneurons , and the imbalance between dopaminergic and cholinergic system by 6-hydroxydopamine pretreatment leads to an increased ACh release .	...dopamine inhibits the release of...
develops	-1	effects	In circulatory shock associated with hypnotic drug poisoning , DOPAMINE DEVELOPS only minor pressure EFFECTS in contrast to its action in circulatory shock of cardiogenic or septic shock origin .	...dopamine develops only minor pressure effects in...
exerts	11	effect	These results suggest that DOPAMINE EXERTS its inhibitory EFFECT primarily through a direct action on the chemoreceptors rather than by a vasomotor effect in the carotid body .	...dopamine exerts its inhibitory effect primarily...
proved	-1	effective	Both DOPAMINE and the combined infusion of levarterenol and phentolamine PROVED the most EFFECTIVE in restoring systemic arterial pressure to near baseline values , and both were able to increase renal blood flow above the failure baseline values .	...dopamine and the combined infusion of levarterenol and phentolamine proved the most effective in...
has	4	action	Our results are in keeping with the view that DOPAMINE HAS a predominantly inhibitory ACTION in the mammalian forebrain .	...dopamine has a predominantly inhibitory action in...
caused	8	increase	However , for an equal increase in sinus rate , DOPAMINE CAUSED less INCREASE in tension development than norepinephrine .	...dopamine caused less increase in...
intensified	-1	phase	High doses of dopamine strongly modified the carbachol-induced phases : DOPAMINE INTENSIFIED the dystonic PHASE on the one hand , but it abolished the generalized epileptic seizures on the other hand .	...dopamine intensified the dystonic phase on...
produced	7	change	Of eight putative transmitter substances tested on these different groups of neurones , only DOPAMINE PRODUCED a potential CHANGE which in each case was of the same polarity as the post-synaptic potential when this was monophasic .	...dopamine produced a potential change which...
protected	-1	those	Reciprocally DOPAMINE ( 10-minus 4 M ) PROTECTED its own receptors as well as THOSE for serotonin and tryptamine .	...dopamine ( 10-minus 4 M ) protected its own receptors as well as those for...
inhibit	13	vasoconstriction	These results demonstrate that DOPAMINE can INHIBIT neurogenic VASOCONSTRICTION by activating presynaptic dopamine receptors present on renal sympathetic nerves .	...dopamine can inhibit neurogenic vasoconstriction by...
mediating	-1	self-stimulation	The clear and consistent effects of apomorphine on self-stimulation of the prefrontal cortex , together with other experimental evidence in the same line , suggest that DOPAMINE is MEDIATING SELF-STIMULATION of this cortical area .	...dopamine is mediating self-stimulation of...
cross	67	barrier	Since DOPAMINE does not CROSS the blood-brain BARRIER , these results , although not excluding a site of action at median eminence level , support the thesis that the inhibitory effect of dopaminergic stimulation on GH release in acromegaly possibly involves receptors present on GH-secreting cells .	...dopamine does not cross the blood-brain barrier ,...
stimulated	14	systems	Apparently , mescaline induced a release of DOPAMINE which STIMULATED central dopaminergic SYSTEMS .	...dopamine which stimulated central dopaminergic systems ....
produces	32	increase	Previous studies in our laboratory have demonstrated that DOPAMINE PRODUCES a significant decrease in arterial PO2 and a mild INCREASE in arterial PCO2 in patients with left heart failure .	...dopamine produces a significant decrease in arterial PO2 and a mild increase in...
inhibited	2	latter	Significant qualitative differences were found between the I.C. effects of d-amphetamine ( 15 mug ) and dopamine ( 15 - 90 mug ) : d-amphetamine further increased the intensity of ongoing tremors induced by physostigmine ( 111 mug I.C. ) , whereas , DOPAMINE readily INHIBITED the LATTER .	...dopamine readily inhibited the latter ....
alter	39	rate	3 Extracellular tyramine or DOPAMINE in concentrations as high as 10(-5 ) M does not ALTER the initial RATE of 5-HT uptake across the platelet plasma membrane .	...dopamine in concentrations as high as 10(-5 ) M does not alter the initial rate of...
had	5	effect	3 Extraluminal DOPAMINE ( 1 micrometer ) or intraluminal injection of dopamine in amounts up to 0.025 micronmol HAD no dilator EFFECT on arteries partially constricted by infusion of noradrenaline .	...dopamine ( 1 micrometer ) or intraluminal injection of dopamine in amounts up to 0.025 micronmol had no dilator effect on...
has	4	action	These results , combined with previous observations , suggest that : 1 ) DOPAMINE HAS no beneficial ACTION on the gastric mucosa during hemorrhagic or endotoxin shock ; 2 ) dopamine acts on the electrophysiology in vivo and Na+ fluxes in vitro in the gastric mucosa in a manner similar to epinephrine ; and 3 ) decrease in blood flow may be responsible for the observed decrease in transmural PD after dopamine and epinephrine in vivo .	...dopamine has no beneficial action on...
exerts	11	effect	These data indicate that in man a dopaminergic mechanism ixists in the regulation of PRL secretion and that DOPAMINE also EXERTS an inhibitory EFFECT of LH release .	...dopamine also exerts an inhibitory effect of...
induced	12	ovulation	Intraventricular infusion of noradrenaline ( NA ) induced ovulation in 50 % of animals tested , whereas DOPAMINE ( DA ) and adrenaline ( A ) , INDUCED OVULATION only in very few cases .	...dopamine ( DA ) and adrenaline ( A ) , induced ovulation only...
has	4	influence	In the therapeutical doses DOPAMINE HAS no significant INFLUENCE on the VFT in contrast to metaproterenol .	...dopamine has no significant influence on...
caused	8	fall	2 Apomorphine and DOPAMINE ( 10 microgram in 1 microliter ) injected into the area of the preoptic anterior hypothalamus CAUSED a FALL in core temperature which was preceded by a rise in tail skin temperature .	...dopamine ( 10 microgram in 1 microliter ) injected into the area of the preoptic anterior hypothalamus caused a fall in...
has	4	role	6 These results suggest that the preoptic anterior hypothalamus contains dopamine receptors which mediate hypothermia in rodents and raise the possibility that endogenous DOPAMINE HAS a physiological ROLE in thermoregulation .	...dopamine has a physiological role in...
produces	32	decrease	In the cat anterior tibialis muscle preparation DOPAMINE PRODUCES a DECREASE on indirectly evoked twitch contraction when it is administered intraarterially but not on intravenous injection .	...dopamine produces a decrease on...
inhibits	0	release	Endogenous DOPAMINE INHIBITS the RELEASE of enkephalin-like immunoreactivity from amacrine cells of the chicken retina in the light .	...dopamine inhibits the release of...
inhibits	0	cells	This pattern of effects suggests that DOPAMINE actively INHIBITS the ENSLI amacrine CELLS in the light , but exerts much less inhibitory activity in the dark , consistent with the idea that dopamine is released during the exposure of the retina to light .	...dopamine actively inhibits the ENSLI amacrine cells in...
evoked	73	hyperthermia	While the core temperature was reduced by nor-adrenaline and adrenaline , DOPAMINE EVOKED HYPERTHERMIA .	...dopamine evoked hyperthermia ....
displayed	-1	affinities	COS cell hSVMT expression yielded nanomolar affinities for tetrabenazine and reserpine , micromolar affinities for haloperidol , GBR12909 , serotonin , mazindol , nomifensin and d-amphetamine , while DOPAMINE , epinephrine , norepinephrine and histamine each DISPLAYED millimolar AFFINITIES .	...dopamine , epinephrine , norepinephrine and histamine each displayed millimolar affinities ....
produced	7	contractions	Noradrenaline ( NA ; 10(-8 ) to 10(-4 ) mol/l ) , phenylephrine ( PE ; 10(-7 ) to 10(-4 ) mol/l ) and DOPAMINE ( DA ; 10(-5 ) to 10(-2 ) mol/l ) PRODUCED concentration-dependent CONTRACTIONS with no sign of tachyphylaxis .	...dopamine ( DA ; 10(-5 ) to 10(-2 ) mol/l ) produced concentration-dependent contractions with...
has	4	role	These results suggest that by inhibiting the late hyperphagic response U50 enhances the anorectic effects of AMPH , but that DOPAMINE probably HAS no direct ROLE in this interaction .	...dopamine probably has no direct role in...
modulates	10	activity	Single-cell electrophysiologic studies have shown that DOPAMINE MODULATES retinal ACTIVITY , but its role in human retinal processing is unclear .	...dopamine modulates retinal activity ,...
exerts	11	effect	It is now acknowledged that DOPAMINE EXERTS an inhibitory EFFECT on striatal neurons that project to the external pallidum and a facilitatory effect on striatal neurons that project to the internal pallidum and substantia nigra pars reticulata .	...dopamine exerts an inhibitory effect on...
exerts	11	tonus	This new example of functional plasticity suggests that DOPAMINE EXERTS a negative TONUS on cholecystokinin expression .	...dopamine exerts a negative tonus on...
regulate	26	activity	Glucocorticoids , but not DOPAMINE , negatively REGULATE the melanotrophic ACTIVITY of the rabbit pituitary intermediate lobe .	...dopamine , negatively regulate the melanotrophic activity of...
exhibited	55	differences	With regard to regional patterns , DOPAMINE EXHIBITED major DIFFERENCES in the mediolateral axis of the anterior dorsal ventricular ridge : dopaminergic innervation was densest in the lateral region , which in other reptiles is described as a target of visual thalamic projections .	...dopamine exhibited major differences in...
displaced	100	binding	We found that , in membranes of postmortem human striatum , amygdala , frontal cortex and substantia nigra , neither DOPAMINE nor the dopamine agonist apomorphine DISPLACED the BINDING of [3H]clozapine ( 5 - 20 nM ) .	...dopamine nor the dopamine agonist apomorphine displaced the binding of...
increased	1	REE	The results of this study revealed that low-dose DOPAMINE INCREASED REE in postsurgical patients and that this might be associated with the concomitant increase in plasma glucagon .	...dopamine increased REE in...
inhibits	0	release	Hypothalamic DOPAMINE ( DA ) tonically INHIBITS prolactin ( PRL ) RELEASE from the anterior pituitary gland , whereas removal of DA markedly augments its release to values exceeding pre-DA rates .	...dopamine ( DA ) tonically inhibits prolactin ( PRL ) release from...
produced	7	effect	D-DOPA , DOPAMINE , noradrenaline or adrenaline ( 300 ng ) PRODUCED no EFFECT .	...dopamine , noradrenaline or adrenaline ( 300 ng ) produced no effect ....
inhibited	2	activity	In the isolated proximal convoluted tubule , DOPAMINE INHIBITED Na+,K(+)-ATPase ACTIVITY in both the 10-d-old ( 34 + /- 3 % , p & lt ; 0.001 ) and 40-d-old rats ( 44 + /- 7 % , p & lt ; 0.001 ) .	...dopamine inhibited Na+,K(+)-ATPase activity in...
stimulates	16	release	Previously , we have demonstrated that DOPAMINE ( DA ) STIMULATES growth hormone ( GH ) RELEASE from the goldfish pituitary through DA D1 receptors .	...dopamine ( DA ) stimulates growth hormone ( GH ) release from...
exhibited	55	efficacy	In the presence of the A2a agonist (2-p-carboxyethyl)phenylamino-5'-N carboxamidoadenosine , DOPAMINE EXHIBITED a lower EFFICACY in displacing the radiolabelled D2 receptor antagonist [125I]iodosulpiride from the rat ventral striatum , specially in the nucleus accumbens .	...dopamine exhibited a lower efficacy in...
modulate	15	activity	These results support the notion that DOPAMINE can MODULATE epileptiform ACTIVITY differentially , through its actions at D1 and D2 receptors .	...dopamine can modulate epileptiform activity differentially...
plays	3	role	Therefore DOPAMINE PLAYS an important ROLE in regulating the epileptic seizures .	...dopamine plays an important role in...
plays	3	roles	These results suggest that DOPAMINE PLAYS different ROLES in MDMA and amphetamine CTAs , and that the D1 and D2 receptors independently mediate the aversive effect of amphetamine in CTA .	...dopamine plays different roles in...
exert	28	control	Does DOPAMINE EXERT a tonic inhibitory CONTROL on the release of striatal acetylcholine in vivo ?	...dopamine exert a tonic inhibitory control on...
facilitates	48	release	These results indicate that , in normal circumstances , endogenous DOPAMINE FACILITATES striatal acetylcholine RELEASE through dopamine D1 receptors .	...dopamine facilitates striatal acetylcholine release through...
caused	8	reduction	2 . In normal , anaesthetized rats , DOPAMINE as well as its prodrugs CAUSED a dose-dependent REDUCTION of vascular resistance in the kidney ( RR ) , mesentery ( MR ) and hindquarters ( HQR ) ( dose range : dopamine : 0.1 - 5 mumol kg-1 h-1 ; L-dopa and gludopa : 1 - 200 mumol kg-1 h-1 ) .	...dopamine as well as its prodrugs caused a dose-dependent reduction of...
mediates	24	response	The objective of this study was to determine whether norepinephrine ( NE ) or DOPAMINE ( DA ) MEDIATES the LH RESPONSE to blockade of MBH kappa-opioid receptors on days 13 - 17 of pregnancy in the rat .	...dopamine ( DA ) mediates the LH response to...
change	69	GFR	With and without metoprolol , DOPAMINE did not significantly CHANGE GFR , and the percentage increases in ERPF were similar on the two study days ( 40 % ( P & lt ; 0.001 ) and 42 % ( P & lt ; 0.001 ) , respectively ) .	...dopamine did not significantly change GFR ,...
prevented	56	[3H]SCH	As previously described , DOPAMINE PREVENTED [3H]SCH 23390 binding in a mixed competitive/non-competitive manner , causing both a loss of ligand affinity and a decrease in Bmax .	...dopamine prevented [3H]SCH 23390...
accelerate	-1	rate	Under neither condition did DOPAMINE ACCELERATE the RATE of ligand dissociation , indicating that dopamine does not interact allosterically with [3H]SCH 23390 binding sites .	...dopamine accelerate the rate of...
masks	-1	binding	These data , therefore , preclude an allosteric mechanism to explain the dopamine-induced decrease in dopamine D1 receptor density and provide direct evidence that DOPAMINE MASKS ligand BINDING by binding to a high affinity site which can be modulated by Gpp(NH)p and Na+ .	...dopamine masks ligand binding by...
modulated	101	currents	We used whole-cell patch recording to measure how bath-applied DOPAMINE MODULATED the CURRENTS elicited by puffs of transmitter solutions at bipolar cell dendrites .	...dopamine modulated the currents elicited...
enhanced	33	response	Bath-applied DOPAMINE ( 20 microM ) ENHANCED the RESPONSE to glutamate in OFF bipolar cells in the retinal slice by 40 % and in isolated OFF bipolar cells by 65 % .	...dopamine ( 20 microM ) enhanced the response to...
modulate	15	transmission	Thus , DOPAMINE may MODULATE synaptic TRANSMISSION from photoreceptors to OFF bipolar cells .	...dopamine may modulate synaptic transmission from...
plays	3	role	That DOPAMINE ( DA ) PLAYS a ROLE in reward-related learning is well documented but the mechanisms through which it acts are not well understood .	...dopamine ( DA ) plays a role in...
decreased	23	in	PGI2 and DOPAMINE significantly DECREASED gastric lesions IN the 3-month rats but not in 12-month old rats .	...dopamine significantly decreased gastric lesions in the...
had	5	effect	PGI2 or DOPAMINE HAD any EFFECT on the 12-month old rats .	...dopamine had any effect on...
modulates	10	activity	In a previous study , we showed that DOPAMINE also MODULATES ACTIVITY of the corticosteroid receptor system .	...dopamine also modulates activity of...
increases	17	phosphorylation	Using an antiserum specific for CREB phosphorylated at Ser-133 , we found that DOPAMINE INCREASES CREB PHOSPHORYLATION in cultured striatal neurons .	...dopamine increases CREB phosphorylation in...
induces	18	decrease	The in vitro studies demonstrated that DOPAMINE INDUCES a significant DECREASE ( p & lt ; 0.05 ) in the total number of VIP-immunoreactive cells , which were smaller than the cells from the control dishes , because dopamine induces a significant decrease in their cellular , cytoplasmic and nuclear areas ( p & lt ; 0.01 ) .	...dopamine induces a significant decrease (...
induce	27	constriction	However , DOPAMINE even at lower doses , may INDUCE CONSTRICTION of the intestinal mucosal arterioles .	...dopamine even at lower doses , may induce constriction of...
cause	47	damage	We show that L-DOPA , DOPAMINE and 3-O-methyl-DOPA CAUSE extensive oxidative DNA DAMAGE in the presence of H2O2 and traces of copper ions .	...dopamine and 3-O-methyl-DOPA cause extensive oxidative DNA damage in...
increased	1	output	In the normal acid-base state , both db-cAMP and DOPAMINE significantly INCREASED cardiac OUTPUT and decreased systemic vascular resistance ( SVR ) .	...dopamine significantly increased cardiac output and...
produce	52	SVR	During metabolic acidosis , db-cAMP increased cardiac output by 69 + /- 14 % and decreased SVR by 36 + /- 2 % , while DOPAMINE did not PRODUCE changes in cardiac output and increased SVR .	...dopamine did not produce changes in cardiac output and increased SVR ....
increased	1	concentration	During metabolic acidosis , DOPAMINE significantly INCREASED the plasma CONCENTRATION of epinephrine and norepinephrine , while db-cAMP significantly decreased epinephrine concentration .	...dopamine significantly increased the plasma concentration of...
exerts	11	control	It is proposed that endogenous DOPAMINE EXERTS an inhibitory CONTROL on alpha-MSH release from the rat hypothalamus via D2-dopamine receptors and that in isolated hypothalamic slices there is a tonic inhibition of peptide release due to the activity of this system .	...dopamine exerts an inhibitory control on...
increased	1	breakdown	4 . In striatal and hippocampal miniprisms , DOPAMINE also INCREASED inositol phospholipid BREAKDOWN , albeit only at high ( greater than or equal to 1 mM ) concentrations .	...dopamine also increased inositol phospholipid breakdown ,...
alter	39	mobility	Dopamine inhibited the O2- production by PMNs when PMNs were stimulated with N-formylated chemotactic peptide N-formyl-methionyl-leucyl-phenylalanine ( FMLP ) , phorbol myristate acetate , or opsonized zymosan , whereas DOPAMINE did not ALTER the PMN MOBILITY .	...dopamine did not alter the PMN mobility ....
inhibited	2	production	Furthermore , DOPAMINE INHIBITED the reduced nicotinamide-adenine dinucleotide phosphate-dependent O2- PRODUCTION by subcellular particles .	...dopamine inhibited the reduced nicotinamide-adenine dinucleotide phosphate-dependent O2- production by...
inhibits	0	production	These results indicate that DOPAMINE INHIBITS PMN O2- PRODUCTION through its effect on PMN reduced nicotinamide-adenine dinucleotide phosphate-oxidase system rather than through its beta-adrenergic action .	...dopamine inhibits PMN O2- production through...
increases	17	production	Our results suggest that DOPAMINE INCREASES cAMP PRODUCTION in afferent arterioles via the DA1 receptor .	...dopamine increases cAMP production in...
stimulate	25	accumulation	Both DOPAMINE and the beta-adrenergic agonist isoproterenol STIMULATE cyclic AMP ACCUMULATION in this retina , but serotonin , an indoleamine , and phenylephrine , an alpha-adrenergic agonist , had no effect .	...dopamine and the beta-adrenergic agonist isoproterenol stimulate cyclic AMP accumulation in...
altered	72	magnitude	Neither DOPAMINE nor bromocriptine ALTERED the rate or MAGNITUDE of TRH- , AII- , NTS- , or BBS-related InsPx generation .	...dopamine nor bromocriptine altered the rate or magnitude of...
attenuates	96	phosphorylation	It is our conclusion that DOPAMINE , in addition to its other actions , ATTENUATES the PHOSPHORYLATION , rather than the hydrolysis , of anterior pituitary phosphoinositide .	...dopamine , in addition to its other actions , attenuates the phosphorylation ,...
modulate	15	excitation	Endogenous DOPAMINE and dopaminergic agonists MODULATE synaptic EXCITATION in neostriatum : intracellular studies from naive and catecholamine-depleted rats .	...dopamine and dopaminergic agonists modulate synaptic excitation in...
produced	7	decrease	D-Amphetamine ( 0.1 - 5 microM ) , as well as DOPAMINE , PRODUCED a dose-dependent DECREASE of the excitatory synaptic potentials .	...dopamine , produced a dose-dependent decrease of...
mimics	95	reduction	We conclude that in naive animals endogenous DOPAMINE MIMICS the voltage-dependent REDUCTION of synaptic excitation produced by D1 activation , while in catecholamine-depleted rats dopamine lacks its voltage-dependent effect and interacts with " supersensitive " D2 receptors .	...dopamine mimics the voltage-dependent reduction of...
lacks	-1	effect	We conclude that in naive animals endogenous dopamine mimics the voltage-dependent reduction of synaptic excitation produced by D1 activation , while in catecholamine-depleted rats DOPAMINE LACKS its voltage-dependent EFFECT and interacts with " supersensitive " D2 receptors .	...dopamine lacks its voltage-dependent effect and...
induce	27	contractions	Exogenous DOPAMINE ( DA ) , octopamine ( OA ) , noradrenaline ( NA ) , and the alpha 1-agonist methoxamine ( MX ) , all INDUCE tonic and rhythmic CONTRACTIONS in the rat vas deferens .	...dopamine ( DA ) , octopamine ( OA ) , noradrenaline ( NA ) , and the alpha 1-agonist methoxamine ( MX ) , all induce tonic and rhythmic contractions in...
has	4	effect	Significant reductions in somatostatin and neuropeptide Y release coincided with increased dopamine release , suggesting that DOPAMINE HAS an inhibitory EFFECT on the release of both peptides .	...dopamine has an inhibitory effect on...
produced	7	changes	DOPAMINE alone PRODUCED variable and small CHANGES in FBF .	...dopamine alone produced variable and small changes in...
induces	18	vasodilatation	DOPAMINE INDUCES forearm VASODILATATION following alpha-adrenoceptor blockade by an action on vascular dopamine ( DA1 ) receptors similar to those described in the renal and mesenteric vasculature of other species .	...dopamine induces forearm vasodilatation following...
inhibit	13	transmission	These results show that DOPAMINE and selective DA-1 and DA-2 receptor agonists INHIBIT ganglionic TRANSMISSION by activating two distinct subtypes of dopamine receptors located on sympathetic ganglia .	...dopamine and selective DA-1 and DA-2 receptor agonists inhibit ganglionic transmission by...
had	5	action	It is concluded that DOPAMINE HAD no detectable ACTION on protein secretion and that the physiological role of dopamine with respect to pancreatic secretion is still questionable .	...dopamine had no detectable action on...
induced	12	H-response	The DOPAMINE INDUCED H-RESPONSE is blocked by (-)-sulpiride , 4-aminopyridine , dibutyryl cAMP , 8CPT-cAMP , forskolin and IBMX .	...dopamine induced H-response is...
induces	18	H-response	These data suggest that DOPAMINE INDUCES the H-RESPONSE by stimulating a receptor resembling the mammalian D-2 receptor and that this effect of dopamine is mediated by a decrease in the formation of intracellular cAMP .	...dopamine induces the H-response by...
inhibited	2	secretion	In the presence of forskolin ( 0.1 - 10 microM ) , DOPAMINE ( 0.1 microM ) INHIBITED prolactin SECRETION to below the basal level and considerably attenuated the stimulation of growth hormone secretion .	...dopamine ( 0.1 microM ) inhibited prolactin secretion to...
decreased	23	of	However , neither DOPAMINE nor somatostatin significantly DECREASED the stimulatory effect of forskolin on cellular cyclic AMP accumulation.(ABSTRACT TRUNCATED AT 250 WORDS ) The effects OF ethane dimethane sulphonate ( EDS ) on bilaterally cryptorchid rat testes .	...dopamine nor somatostatin significantly decreased the stimulatory effect of forskolin on cellular cyclic AMP accumulation.(ABSTRACT TRUNCATED AT 250 WORDS ) The effects of ethane...
block	-1	activation	The observations that DOPAMINE and apomorphine can BLOCK forskolin ACTIVATION of tyrosine hydroxylase , that this blockade can in turn be prevented by preincubation with haloperidol or chlorpromazine , and that the amount of dopamine required for blockade of forskolin activation in synaptosomes has no effect on tyrosine hydroxylase when added to the enzyme assay constitute the first clear evidence of a presynaptic dopamine receptor ( autoreceptor ) .	...dopamine and apomorphine can block forskolin activation of...
had	5	effect	On the other hand DOPAMINE ( 4 - 20 micrograms ) and serotonin ( 8 and 20 micrograms ) HAD no EFFECT on ethanol diuresis when given intraventricularly .	...dopamine ( 4 - 20 micrograms ) and serotonin ( 8 and 20 micrograms ) had no effect on...
enhances	36	accumulation	It is concluded that : the increase in dopamine-stimulated cyclic AMP efflux caused by D2 antagonists reflects increased intracellular cyclic AMP accumulation rather than an effect on the efflux mechanism ; DOPAMINE ENHANCES cyclic AMP ACCUMULATION via a D1 receptor , and simultaneously inhibits it through a D2 receptor ; and changes in D1 receptor-stimulated cyclic AMP formation in striatum may not be related to the clinical actions of neuroleptics .	...dopamine enhances cyclic AMP accumulation via...
caused	8	increase	Isoproterenol , norepinephrine and epinephrine , but not DOPAMINE , CAUSED statistically significant INCREASE in aldosterone release .	...dopamine , caused statistically significant increase in...
activate	43	cyclase	Serotonin ( 5-hydroxytryptamine ; 5-HT ) , DOPAMINE ( DA ) , and small cardioactive peptide B ( SCPB ) can ACTIVATE adenylate CYCLASE and increase the intracellular cyclic AMP ( cAMP ) levels in the Limax procerebrum ( PC ) , with differing time courses and to differing extents .	...dopamine ( DA ) , and small cardioactive peptide B ( SCPB ) can activate adenylate cyclase and...
has	4	effect	The results suggest that DOPAMINE HAS a presynaptic stimulatory EFFECT in rat parotid gland , and that the presynaptic effect on potassium efflux seems to be mediated via the D-1 receptor subtype .	...dopamine has a presynaptic stimulatory effect in...
exerts	11	influence	These results suggest that DOPAMINE EXERTS a modulatory INFLUENCE on the metabolism of dynorphin in the striatonigral pathway .	...dopamine exerts a modulatory influence on...
modifies	-1	aspects	Exogenously applied DOPAMINE MODIFIES several ASPECTS of horizontal cell activity in the intact retina , including the responsiveness of these neurons to light and the strength of electrical coupling between them .	...dopamine modifies several aspects of...
